Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,score
2774,3120476,55486.0,1928,1,100,158.2,24.9,0.4,,40.757921,-73.987421,5.0,119.0,4.799091,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2781,2564712,324126.0,2006,1,100,56.2,9.0,0.3,28.12,40.759228,-73.986572,5.0,125.0,6.029483,3.336481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2782,4044331,463143.0,2003,1,100,126.2,5.8,1.1,57.28,40.760496,-73.98739499999999,5.0,125.0,7.656053,4.0479517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2786,2665877,475327.0,1990,1,100,89.9,8.8,,51.47,40.760476000000004,-73.98566600000001,5.0,125.0,7.540993,3.940999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2792,4586522,158150.0,1930,1,100,49.9,6.5,0.3,,40.760892999999996,-73.984449,5.0,125.0,5.5853744,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2796,3120687,81183.0,1923,1,100,199.3,34.4,0.5,,40.761565999999995,-73.983944,5.0,131.0,5.3447237,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2797,4409212,95962.0,1900,1,100,169.5,21.9,0.5,,40.761914000000004,-73.983716,5.0,131.0,6.4108324,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12165,2974918,103500.0,1955,1,100,48.3,4.2,0.4,1.6,,,,,5.506956,0.47000363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2802,4408641,190289.0,1987,1,100,90.6,7.3,0.6,44.86,40.763141,-73.984257,5.0,131.0,6.545062,3.8035464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2808,3533683,88110.0,1930,1,100,125.1,12.7,0.9,,40.763781,-73.982611,5.0,131.0,6.0402546,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2817,2718578,253253.0,1979,1,100,105.0,10.7,0.0,,40.764891999999996,-73.982607,5.0,137.0,6.771477,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12178,3877954,70000.0,1960,1,100,9.0,2.4,0.0,,,,,,1.1314021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2831,2652653,94166.0,1913,1,100,120.3,,,148.57,40.765863,-73.979802,5.0,137.0,6.396763,5.001056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2853,4398368,121156.0,1964,1,100,75.9,6.1,0.2,,40.75959,-73.98943100000001,4.0,121.0,5.9378,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2862,3882033,62104.0,1988,1,100,68.2,20.0,,,40.761951,-73.987225,4.0,127.0,-inf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2874,4951985,64020.0,1947,1,100,95.8,10.1,0.0,49.89,40.763839000000004,-73.98499,4.0,133.0,5.580107,3.9098206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2888,2638823,57586.0,1930,1,100,78.8,,,,40.765735,-73.983603,4.0,139.0,5.6646953,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2894,4952003,941351.0,1978,1,100,87.8,6.6,0.1,,40.767077,-73.983755,4.0,139.0,8.217061,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2896,3543069,75617.0,1928,1,100,92.6,6.1,0.8,,,,,,5.6549425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2897,4403963,102720.0,1987,1,100,93.6,27.2,0.0,0.0,40.767565999999995,-73.982798,4.0,139.0,-inf,-inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2903,1261447,2797249.0,2004,1,100,149.9,25.2,0.1,0.52,40.768351,-73.982206,4.0,145.0,7.1736517,-0.6539265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2908,3114298,1285029.0,2011,1,100,125.6,21.1,0.6,,40.75913,-73.99582,4.0,115.0,8.073527,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2923,3528210,170440.0,2004,1,100,99.0,12.8,0.6,42.19,40.76637,-73.986856,4.0,139.0,6.3000517,3.7421832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2927,4409001,95436.0,2003,1,100,103.1,16.9,0.5,22.96,40.766715000000005,-73.986603,4.0,139.0,5.4267106,3.1337535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2930,3116357,104966.0,1957,1,100,60.7,5.4,0.4,31.98,40.768159000000004,-73.986307,4.0,139.0,5.5736737,3.4651108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2941,2287199,388273.0,1987,1,100,75.2,8.0,,34.43,40.76037,-73.997213,4.0,129.0,7.38709,3.5389283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2944,2806390,292381.0,1989,1,100,118.2,7.5,1.0,47.53,40.76034,-73.995094,4.0,129.0,7.072507,3.861361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2947,2611600,156856.0,1920,1,100,28.6,3.9,0.2,0.08,40.760999,-73.99661,4.0,129.0,4.8072944,-2.5257287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2962,2820270,65625.0,1930,1,100,98.9,8.4,0.8,,40.765972,-73.994552,4.0,135.0,5.4979877,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2970,3129379,1082317.0,2011,1,100,87.3,13.5,,,40.768153999999996,-73.99296,4.0,135.0,7.6700554,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2974,5983666,228000.0,1967,2,100,52.2,9.0,0.3,,40.76943,-73.992032,4.0,135.0,5.709433,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2986,2654634,211175.0,1950,2,100,33.3,5.9,0.2,1.16,40.762495,-73.998202,4.0,129.0,5.075174,0.14841998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2988,4733225,52500.0,1920,1,100,42.6,2.0,0.0,11.9,40.763584,-73.996971,4.0,129.0,4.9155917,2.4765384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2993,5236735,152375.0,1930,1,100,181.5,19.0,1.3,0.07,40.769464,-73.994834,4.0,135.0,5.956873,-2.65926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2995,4900852,387619.0,1929,1,100,38.9,4.5,0.3,,40.768917,-73.992426,4.0,135.0,6.233626,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2999,5877331,978663.0,2016,1,0,41.2,7.3,0.2,,40.771014,-73.993054,4.0,135.0,6.696417,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3003,4036564,408644.0,1981,1,100,115.9,9.6,0.8,48.34,40.76938,-73.983184,7.0,145.0,7.0621915,3.8782594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3004,2909090,104310.0,1923,1,100,54.6,8.3,0.3,5.26,40.769265000000004,-73.982917,7.0,145.0,5.117994,1.6601311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3005,4056579,76511.0,1921,1,0,10.5,,,,40.769202,-73.982765,7.0,145.0,4.1835756,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3007,4954258,78200.0,1905,1,100,172.7,19.8,0.0,,40.769514,-73.982122,7.0,145.0,-inf,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3008,2694581,113736.0,1921,1,100,93.4,18.8,0.0,10.79,40.769921000000004,-73.982559,7.0,145.0,5.467216,2.3786197,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3015,3533663,217283.0,1923,1,100,53.9,13.5,0.1,,40.77095,-73.982158,7.0,149.0,4.4450016,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3019,4390173,249575.0,1930,1,100,174.2,17.4,0.1,120.47,40.770672,-73.980429,7.0,149.0,4.232656,4.791401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3021,4398351,1182195.0,1970,1,100,152.4,11.4,0.9,57.9,40.77143,-73.980335,7.0,149.0,8.908816,4.0587173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3023,4036626,460000.0,2002,1,100,105.5,12.5,0.6,27.52,40.772545,-73.982176,7.0,149.0,7.249073,3.314913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3033,2912657,301000.0,1975,1,100,70.9,6.2,0.0,37.6,40.773505,-73.981637,7.0,149.0,3.4275146,3.627004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3036,2981192,347053.0,1988,1,100,183.3,34.4,,,40.772994,-73.98008100000001,7.0,153.0,-inf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3038,2656576,126557.0,1900,1,100,66.4,4.3,,,40.772945,-73.978359,7.0,153.0,6.170238,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3050,4405696,61908.0,1920,1,100,50.7,4.1,0.0,,40.774435,-73.97969499999999,7.0,153.0,5.203457,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3051,4405690,51428.0,1924,1,100,60.8,3.9,0.0,20.51,40.774542,-73.979947,7.0,153.0,5.294309,3.0209126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3058,3264518,58361.0,1916,1,100,76.0,4.3,,25.39,40.775327000000004,-73.977918,7.0,153.0,5.576328,3.2343554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3067,3116932,51360.0,1930,1,100,84.8,4.9,0.7,39.32,40.777091999999996,-73.97801899999999,7.0,157.0,5.329816,3.6717334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3074,2649549,217280.0,1954,1,100,39.2,4.5,0.2,,40.77722,-73.975238,7.0,157.0,5.8880467,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3082,2672551,176891.0,1928,1,100,48.6,4.0,0.4,21.94,40.779649,-73.974006,7.0,161.0,5.8556447,3.0883114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3090,2802598,241774.0,1999,1,100,76.4,8.0,0.0,,40.769476,-73.985122,7.0,145.0,1.8245493,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3095,3538942,248013.0,1988,1,100,98.7,7.5,0.7,,40.771406,-73.98605699999999,7.0,145.0,6.991821,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3096,5870656,58219.0,1964,1,100,13.6,1.7,,,40.773626,-73.983591,7.0,149.0,-inf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3097,2833409,386850.0,1962,1,100,92.0,6.0,0.0,,40.774896999999996,-73.984338,7.0,153.0,7.62618,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3100,4403261,475923.0,1995,1,100,68.4,11.4,0.0,,40.773996999999994,-73.982233,7.0,153.0,3.4011974,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3101,2645118,132902.0,1999,1,100,121.1,16.3,0.1,19.76,40.774386,-73.983399,7.0,153.0,4.569543,2.9836597,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3103,3524863,75069.0,1985,1,100,96.1,7.2,0.0,32.18,40.775114,-73.98219300000001,7.0,153.0,5.9733005,3.4713452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3105,2475958,701953.0,1993,1,95,70.5,5.8,0.5,42.6,40.775177,-73.982168,7.0,153.0,7.5253167,3.7518542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3117,4926479,196953.0,1990,1,100,64.1,6.7,0.5,26.73,40.776618,-73.98094,7.0,157.0,6.099646,3.2857866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3124,2652684,59210.0,1911,1,100,85.7,,,,40.778146,-73.980556,7.0,157.0,5.757955,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3126,4377739,51000.0,2007,1,100,71.7,8.4,0.5,30.07,40.777753999999995,-73.979629,7.0,157.0,4.762174,3.403528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3127,2656243,111997.0,1905,1,100,67.5,3.2,,126.57,40.778759,-73.981502,7.0,157.0,6.170029,4.8407955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3130,2656250,110770.0,1905,1,100,69.9,3.6,,,40.778973,-73.981351,7.0,157.0,6.170029,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3131,2665675,54777.0,1900,1,100,75.6,4.2,0.0,36.11,40.77763,-73.97929599999999,7.0,157.0,5.695078,3.5865698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3135,2648651,55012.0,1920,1,100,83.8,3.4,0.0,38.63,40.778401,-73.97899699999999,7.0,157.0,5.6856184,3.6540291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12179,3965816,133000.0,1962,1,100,201.9,23.8,,21.65,,,,,6.731018,3.0750055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3151,2652041,78877.0,1987,1,100,93.0,11.2,0.6,36.44,40.782381,-73.976522,7.0,165.0,5.5004416,3.5956671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3160,2817381,288000.0,1968,1,100,157.2,9.9,1.3,13.95,40.771741,-73.988775,7.0,147.0,7.5420012,2.6354795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3175,4945655,498268.0,1965,1,100,60.0,6.0,0.0,,40.777464,-73.986171,7.0,155.0,4.1728477,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3187,2939599,87150.0,1928,1,100,80.0,4.2,0.7,43.69,40.779258,-73.98318499999999,7.0,159.0,5.711089,3.7771192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3190,4024235,61922.0,1986,1,100,93.9,9.1,0.7,44.58,40.778234999999995,-73.982777,7.0,159.0,5.1676393,3.7972853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3192,2670874,218851.0,1926,1,100,64.4,6.1,,44.99,40.77933,-73.983311,7.0,159.0,6.484483,3.8064404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3193,2630596,109290.0,1927,1,100,56.7,7.7,0.3,57699.3,40.779876,-73.982553,7.0,159.0,5.1834674,10.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3198,2811499,568662.0,1904,1,100,132.6,8.5,1.2,43.11,,,,,7.8918543,3.763755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3204,2679429,99663.0,1929,1,100,52.4,3.0,,,40.780617,-73.980364,7.0,163.0,5.187386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3207,4481066,50205.0,1900,1,100,74.1,3.9,0.6,,40.780704,-73.980115,7.0,163.0,5.1451664,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3208,3249291,80714.0,2001,1,100,193.1,23.9,1.1,,40.780971,-73.979924,7.0,163.0,6.647948,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
